#--ls 10.49, --lt 23.8, --cb 0.1, --cm 0.4, --ct 0.2, --dt 1e-10,  --seed 1, --framerate 1e-10, --eqb 120, --eqmpre 200, --eqmpost 224, --eqt 0, --nomovie,,
k_b,    k_ub,    runtime,   exp_binding_constant,    max ob time,    min ob time,    max bb time,    min bb time,    max nb step,    min nb step,    max fb step,    min fb step, total steps, nbx disp, fbx disp
100000000,	100,	1.0,	0.0,	0.00046458790000003525,	2.8700000043180296e-08,	0.0483790046,	1.3402500000037065e-05,	65.3190817,	-49.2397287,	67.5789166, 	-43.0488761, 	91, 	-19.0829306, 	-81.0961027
100000000.0,	100,	1.0,	1.0,	0.0003553862999999824,	1.4800000003312164e-08,	0.0631432536,	2.137289999998293e-05,	66.31868440000001,	-56.3949357,	65.2957668, 	-45.1625386, 	80, 	-54.5247137, 	12.224192899999998
100000000.0,	100,	1.0,	10.0,	0.00018258969999995767,	4.76520000003422e-06,	0.2767298255,	0.032157522500000035,	0.0,	0.0,	2.5397532, 	-4.589961599999999, 	7, 	0.0, 	-4.566296800000002
100000000.0,	100,	1.0,	-10.0,	0.0009648178000000174,	9.699999914403179e-09,	0.1290526355,	0.0,	60.587198799999896,	-57.52297559999715,	68.37944109999808, 	-72.22534829999859, 	6310, 	114446.68578100001, 	114476.7625839
100000000.0,	100,	1.0,	-1.0,	0.0003451848999999896,	6.12000000677071e-08,	0.0746703414,	7.045839999997305e-05,	68.41503719999999,	-51.22799359999999,	68.3547422, 	-52.233509100000006, 	131, 	-76.2660157, 	-83.813193
100000000.0,	100,	1.0,	-0.5,	0.0001412825000000062,	2.000000165480742e-10,	0.031457185499999984,	5.5294099999936286e-05,	24.744997299999998,	-16.876893799999998,	29.958805200000004, 	-21.648704900000002, 	150, 	54.818502800000005, 	57.2719868
100000000.0,	100,	5.0,	-0.5,	0.00017988700000026725,	0.0,	0.04498827499999969,	2.066999999605912e-06,	36.210550600000005,	-34.41499680000004,	51.5620844, 	-32.05616020000002, 	764, 	569.8167603, 	572.5784297
100000000.0,	100,	10.0,	0.0,	0.00020348400000003153,	0.0,	0.06515767100000014,	4.684999999948758e-06,	36.302367000000004,	-36.92938299999997,	36.30718589999999, 	-29.24407930000001, 	998, 	429.3403274, 	425.358591210000000000000.0,	10000.0,	0.001,	0.0,	2.0000000006820118e-10,	1.9999999995978096e-10,	0.00038375049999999993,	1.192589999999996e-05,	0.0,	0.0,	0.0, 	0.0, 	10, 	0.0, 	0.0
100000000.0,	100,	1.0,	2.0,	9.184099999998141e-05,	5.8199999930508284e-08,	0.09498378130000001,	0.005964753099999998,	13.095960999999999,	-21.0497534,	9.0017055, 	-17.8192465, 	31, 	-26.1797375, 	-19.5073409
100000000.0,	100,	1.0,	4.0,	5.2899499999981e-05,	2.5106000000052475e-06,	0.2228653524,	0.006028273299999998,	7.789048100000002,	-23.027633700000003,	7.009694, 	-14.8787279, 	16, 	-46.8273931, 	-43.3335132
100000000.0,	100,	1.0,	-2.0,	0.00018756980000000922,	2.000000026702864e-10,	0.0157958889,	1.3392000000021775e-06,	38.439795000000004,	-32.20361879999996,	35.01472199999995, 	-26.71516919999999, 	645, 	1052.5135667, 	1055.3806288
100000000.0,	100,	1.0,	-4.0,	0.00018093090000001477,	1.9999990552577174e-10,	0.0022022838999999905,	4.500000039264762e-09,	41.12013519999982,	-44.08858129999999,	43.0792935999998, 	-35.21951500000068, 	4525, 	9212.4889879, 	9216.0309962
100000000.0,	100,	1.0,	-2.0,	0.00012680819999999482,	1.9999990552577174e-10,	0.015819004499999997,	2.074299999987872e-06,	24.10169890000003,	-26.7321536,	22.804120299999965, 	-21.10310000000004, 	634, 	925.2643483, 	924.8410639
100000000.0,	100,	1.0,	-6.0,	0.0002825407000000002,	1.9999990552577174e-10,	0.00031089200000000705,	1.000000082740371e-10,	42.09811219999756,	-40.25924210000085,	46.973990700000286, 	-39.87648479999916, 	21987, 	44749.1929432, 	44754.0760257
100000000.0,	100,	1.0,	-8.0,	0.0003095915999999921,	1.9999990552577174e-10,	3.1777399999932676e-05,	0.0,	51.24765750000006,	-34.76645790000475,	44.49116859999776, 	-38.83890050000082, 	38533, 	80913.34104, 	80915.7666517
100000000.0,	100,	1.0,	-8.0,	0.0002110390999999906,	1.9999990552577174e-10,	4.767440000003065e-05,	0.0,	43.62282899999991,	-32.68237439999939,	41.903298400000494, 	-30.267780800000764, 	44484, 	86765.9573762, 	86756.5816532
100000000.0,	100.0,	1.0,	-0.01,	8.63730000000007e-05,	9.519999999429984e-08,	0.04852282819999998,	5.217109999999803e-05,	19.5948156,	-25.9944889,	15.3497029, 	-26.826670699999998, 	97, 	8.0028029, 	5.6050616
100000000.0,	100.0,	1.0,	-0.5,	0.0001412825000000062,	2.000000165480742e-10,	0.031457185499999984,	5.5294099999936286e-05,	24.744997299999998,	-16.876893799999998,	29.958805200000004, 	-21.648704900000002, 	150, 	54.818502800000005, 	57.2719868
100000000.0,	100.0,	1.0,	-0.1,	9.432939999998169e-05,	2.000000165480742e-10,	0.048515612600000035,	2.3905499999976598e-05,	21.3864458,	-33.2266779,	21.692024099999998, 	-31.357080500000002, 	103, 	-84.4863696, 	-90.5814807
100000000.0,	100.0,	1.0,	-0.2,	0.00014555589999998286,	2.000000165480742e-10,	0.048535494999999984,	4.4826300000022634e-05,	23.702707599999997,	-15.122248599999995,	27.4673205, 	-23.540650499999998, 	113, 	73.0175384, 	75.5145751
50000000000.0,	100.0,	1.0,	-2.0,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.01,	2.000000165480742e-10,	1.9999990552577174e-10,	0.04854512420000001,	6.320709999996232e-05,	0.0,	0.0,	0.0, 	0.0, 	97, 	0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.5,	2.000000165480742e-10,	1.9999990552577174e-10,	0.0442531001,	6.320709999996232e-05,	0.0,	0.0,	0.0, 	0.0, 	145, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.1,	2.000000165480742e-10,	1.9999990552577174e-10,	0.048545124199999956,	6.320710000007335e-05,	0.0,	0.0,	0.0, 	0.0, 	103, 	0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.01,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.01,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.1,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.2,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-2.0,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-3.0,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-2.0,	2.000000165480742e-10,	1.9999990552577174e-10,	0.01586926949999999,	1.9589999999958252e-07,	0.0,	0.0,	0.0, 	0.0, 	552, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.5,	2.000000165480742e-10,	1.9999990552577174e-10,	0.0442531001,	6.320709999996232e-05,	0.0,	0.0,	0.0, 	0.0, 	145, 	-0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.1,	2.000000165480742e-10,	1.9999990552577174e-10,	0.048545124199999956,	6.320710000007335e-05,	0.0,	0.0,	0.0, 	0.0, 	103, 	0.0, 	0.0
50000000000.0,	100.0,	1.0,	-0.01,	2.000000165480742e-10,	1.9999990552577174e-10,	0.04854512420000001,	6.320709999996232e-05,	0.0,	0.0,	0.0, 	0.0, 	97, 	0.0, 	0.0
1000000000.0,	100.0,	1.0,	-0.01,	8.661700000023309e-06,	1.9999998879249858e-10,	0.04854512420000001,	5.9719100000021896e-05,	17.274448500000005,	-12.4026791,	13.699100400000006, 	-19.5157605, 	97, 	104.0092541, 	108.6558317
1000000000.0,	100.0,	1.0,	-0.1,	1.3890299999999578e-05,	1.9999998879249858e-10,	0.04854512379999998,	6.309749999999781e-05,	18.9621352,	-7.6571308000000045,	14.696985699999999, 	-9.9500001, 	104, 	90.2909571, 	89.3031185
1000000000.0,	100.0,	1.0,	-2.0,	1.420590000000832e-05,	1.9999990552577174e-10,	0.015859054100000006,	1.4100000000905055e-07,	22.77979480000002,	-21.686697600000002,	21.578764200000023, 	-18.419552799999963, 	658, 	811.5278569, 	827.0036495
